"Date","rub","oil"
"97",2008-07-09,-0.00264753548876297,-0.00124119634091462
"98",2008-07-10,-0.00398492403566917,0.014638365631746
"99",2008-07-11,0.00067566147197095,0.0568812024611564
"100",2008-07-15,-0.0090879663318218,-0.054237222783153
"101",2008-07-16,-0.00475505269022599,-0.0195752425986633
"102",2008-07-17,0.00140839975825109,0.00690532241261147
"103",2008-07-18,0.00239215876673502,-0.0360390734732629
"104",2008-07-22,-0.000806309065815287,-0.0162917421559412
"105",2008-07-23,-0.000935947008442396,-0.00196984161026688
"106",2008-07-24,0.00517086038967198,-0.0107868341459239
"107",2008-07-25,0.00216043240832659,-0.00528753332734881
"108",2008-07-29,-0.000982409632058438,0.00909343739631709
"109",2008-07-30,-0.00166859355594067,-0.026120947986012
"110",2008-07-31,0.00479065092913762,0.013852694183997
