"ndp","des"
"2003-06-06",-0.0371790032417541,-0.010243367414761
"2003-06-09",-0.0178348676360342,0.00769234562315564
"2003-06-10",0.0476878307857153,0.00127632435960468
"2003-06-11",-0.0476878307857153,-0.00127632435960468
"2003-06-16",0.0378355343427038,-0.00255754615111723
"2003-06-17",0.0435904360748618,-0.00256410396893765
"2003-06-18",-0.0460687520893287,0.0203310687835838
"2003-06-19",-0.0379312223234097,-0.0241895944711131
"2003-06-20",0.060018009726253,0.00128783018442869
"2003-06-21",0.0263488296967517,0.0165925950934198
"2003-06-23",0.00471698987813887,-0.0114577956213813
"2003-06-24",-0.13319531465127,-0.025941791978
"2003-06-25",0.161039340822444,0.0323234345675207
"2003-06-26",0,-0.00127307464679821
"2003-06-27",0,-0.00127469743200058
"2003-06-30",0.0403642238553601,-0.00511510066677038
