date,RUB,BRENT
2000-07-20,-0.0021598280534300685,-0.017088347469132348
2000-07-21,-0.003248513955831367,-0.042918745325870145
2000-07-25,-0.000723327337142976,-0.03431522353638128
2000-07-26,0.0,0.005415873973032337
2000-07-27,0.0,-0.012422519998557036
2000-07-28,0.0021684142938234174,0.013964540350372534
2000-08-01,0.004322773302004368,-0.02812685416287719
2000-08-02,0.0010777798779959546,0.059971849843798886
2000-08-03,-0.0007183908354937429,0.008915363657952202
2000-08-04,-0.0010785548412077794,0.0352443380972538
2000-08-08,-0.0025211610689046537,-0.015470716906861526
2000-08-09,0.0,0.019745750136610063
2000-08-10,-0.0010824464343941465,0.029769314390770685
2000-08-11,0.0,0.015748356968139365
2000-08-15,-0.00036107601042223436,0.018843087801479808
2000-08-16,0.0018040777038148548,-0.011398044952369624
